time,precip,region
1981-01-01,3.8823776,Tigray
1981-02-01,2.9656878,Tigray
1981-03-01,27.465868,Tigray
1981-04-01,31.691282,Tigray
1981-05-01,47.929924,Tigray
1981-06-01,82.49565,Tigray
1981-07-01,288.2869,Tigray
1981-08-01,308.25635,Tigray
1981-09-01,102.44539,Tigray
1981-10-01,31.374386,Tigray
1981-11-01,9.847549,Tigray
1981-12-01,3.3004932,Tigray
1982-01-01,6.7634954,Tigray
1982-02-01,8.235224,Tigray
1982-03-01,23.984552,Tigray
1982-04-01,46.291397,Tigray
1982-05-01,48.966324,Tigray
1982-06-01,56.779552,Tigray
1982-07-01,175.9491,Tigray
1982-08-01,241.36511,Tigray
1982-09-01,93.31318,Tigray
1982-10-01,34.461693,Tigray
1982-11-01,8.581252,Tigray
1982-12-01,3.4481475,Tigray
1983-01-01,4.010435,Tigray
1983-02-01,5.0501375,Tigray
1983-03-01,7.9040465,Tigray
1983-04-01,16.832308,Tigray
1983-05-01,68.43748,Tigray
1983-06-01,101.07872,Tigray
1983-07-01,200.48277,Tigray
1983-08-01,235.48941,Tigray
1983-09-01,82.902534,Tigray
1983-10-01,17.01855,Tigray
1983-11-01,10.1171875,Tigray
1983-12-01,2.9741156,Tigray
1984-01-01,3.924147,Tigray
1984-02-01,3.8115625,Tigray
1984-03-01,16.945227,Tigray
1984-04-01,18.577658,Tigray
1984-05-01,43.275043,Tigray
1984-06-01,77.07045,Tigray
1984-07-01,191.90286,Tigray
1984-08-01,154.96803,Tigray
1984-09-01,97.42904,Tigray
1984-10-01,9.622584,Tigray
1984-11-01,9.163479,Tigray
1984-12-01,5.533011,Tigray
1985-01-01,5.0848804,Tigray
1985-02-01,4.87654,Tigray
1985-03-01,22.95534,Tigray
1985-04-01,55.553776,Tigray
1985-05-01,71.751045,Tigray
1985-06-01,111.79528,Tigray
1985-07-01,236.35542,Tigray
1985-08-01,218.41292,Tigray
1985-09-01,100.928604,Tigray
1985-10-01,18.832071,Tigray
1985-11-01,10.9702,Tigray
1985-12-01,3.8262832,Tigray
1986-01-01,4.1023035,Tigray
1986-02-01,5.061142,Tigray
1986-03-01,9.962454,Tigray
1986-04-01,23.943478,Tigray
1986-05-01,26.152447,Tigray
1986-06-01,213.07936,Tigray
1986-07-01,294.21564,Tigray
1986-08-01,233.84084,Tigray
1986-09-01,135.1324,Tigray
1986-10-01,29.705606,Tigray
1986-11-01,6.5074363,Tigray
1986-12-01,3.397408,Tigray
1987-01-01,4.441173,Tigray
1987-02-01,3.8356972,Tigray
1987-03-01,16.85335,Tigray
1987-04-01,20.059444,Tigray
1987-05-01,133.19492,Tigray
1987-06-01,121.26121,Tigray
1987-07-01,147.37321,Tigray
1987-08-01,261.81268,Tigray
1987-09-01,55.824593,Tigray
1987-10-01,42.47434,Tigray
1987-11-01,7.7869835,Tigray
1987-12-01,3.5611172,Tigray
1988-01-01,3.999397,Tigray
1988-02-01,10.759983,Tigray
1988-03-01,7.0489025,Tigray
1988-04-01,18.5624,Tigray
1988-05-01,34.76746,Tigray
1988-06-01,95.785835,Tigray
1988-07-01,340.56845,Tigray
1988-08-01,305.92117,Tigray
1988-09-01,111.30182,Tigray
1988-10-01,54.40573,Tigray
1988-11-01,8.219987,Tigray
1988-12-01,3.3761635,Tigray
1989-01-01,4.773104,Tigray
1989-02-01,4.514829,Tigray
1989-03-01,21.48375,Tigray
1989-04-01,27.720545,Tigray
1989-05-01,53.104267,Tigray
1989-06-01,110.036736,Tigray
1989-07-01,243.34204,Tigray
1989-08-01,205.7127,Tigray
1989-09-01,84.400185,Tigray
1989-10-01,25.368826,Tigray
1989-11-01,8.369878,Tigray
1989-12-01,6.1491075,Tigray
1990-01-01,4.9013653,Tigray
1990-02-01,7.1841307,Tigray
1990-03-01,17.724201,Tigray
1990-04-01,23.652603,Tigray
1990-05-01,24.400263,Tigray
1990-06-01,60.632843,Tigray
1990-07-01,219.37143,Tigray
1990-08-01,146.6465,Tigray
1990-09-01,115.153656,Tigray
1990-10-01,15.789769,Tigray
1990-11-01,6.2896986,Tigray
1990-12-01,3.5154796,Tigray
1991-01-01,4.6282973,Tigray
1991-02-01,4.8962274,Tigray
1991-03-01,12.806006,Tigray
1991-04-01,35.823997,Tigray
1991-05-01,71.65487,Tigray
1991-06-01,106.92787,Tigray
1991-07-01,214.24329,Tigray
1991-08-01,239.17026,Tigray
1991-09-01,70.99309,Tigray
1991-10-01,43.099308,Tigray
1991-11-01,8.86408,Tigray
1991-12-01,4.4819994,Tigray
1992-01-01,5.9628043,Tigray
1992-02-01,4.381088,Tigray
1992-03-01,17.692402,Tigray
1992-04-01,22.535776,Tigray
1992-05-01,56.05758,Tigray
1992-06-01,72.43187,Tigray
1992-07-01,195.8076,Tigray
1992-08-01,254.10602,Tigray
1992-09-01,75.85305,Tigray
1992-10-01,50.11246,Tigray
1992-11-01,21.614513,Tigray
1992-12-01,6.5035534,Tigray
1993-01-01,6.5251293,Tigray
1993-02-01,5.765075,Tigray
1993-03-01,26.663712,Tigray
1993-04-01,68.24164,Tigray
1993-05-01,89.549675,Tigray
1993-06-01,108.17933,Tigray
1993-07-01,223.3326,Tigray
1993-08-01,186.84889,Tigray
1993-09-01,123.8232,Tigray
1993-10-01,33.185272,Tigray
1993-11-01,6.8679004,Tigray
1993-12-01,3.120148,Tigray
1994-01-01,3.9827874,Tigray
1994-02-01,5.832506,Tigray
1994-03-01,8.280257,Tigray
1994-04-01,26.173002,Tigray
1994-05-01,50.415028,Tigray
1994-06-01,124.21153,Tigray
1994-07-01,210.31163,Tigray
1994-08-01,292.6327,Tigray
1994-09-01,111.04942,Tigray
1994-10-01,15.160452,Tigray
1994-11-01,11.176106,Tigray
1994-12-01,3.6136086,Tigray
1995-01-01,3.9477153,Tigray
1995-02-01,5.6277633,Tigray
1995-03-01,22.333363,Tigray
1995-04-01,37.077442,Tigray
1995-05-01,71.69768,Tigray
1995-06-01,95.50562,Tigray
1995-07-01,240.59798,Tigray
1995-08-01,237.04245,Tigray
1995-09-01,107.59817,Tigray
1995-10-01,12.051741,Tigray
1995-11-01,6.3630157,Tigray
1995-12-01,7.143952,Tigray
1996-01-01,4.6363134,Tigray
1996-02-01,4.1837883,Tigray
1996-03-01,39.648808,Tigray
1996-04-01,42.699524,Tigray
1996-05-01,108.48669,Tigray
1996-06-01,163.3329,Tigray
1996-07-01,186.30797,Tigray
1996-08-01,238.92409,Tigray
1996-09-01,94.67619,Tigray
1996-10-01,15.120941,Tigray
1996-11-01,19.369106,Tigray
1996-12-01,4.062812,Tigray
1997-01-01,4.6737504,Tigray
1997-02-01,3.5389097,Tigray
1997-03-01,19.118406,Tigray
1997-04-01,34.973072,Tigray
1997-05-01,82.300606,Tigray
1997-06-01,130.04176,Tigray
1997-07-01,217.53448,Tigray
1997-08-01,204.22649,Tigray
1997-09-01,67.59311,Tigray
1997-10-01,79.93978,Tigray
1997-11-01,24.676727,Tigray
1997-12-01,3.4369457,Tigray
1998-01-01,6.2425876,Tigray
1998-02-01,5.2160196,Tigray
1998-03-01,16.791018,Tigray
1998-04-01,17.46501,Tigray
1998-05-01,61.476826,Tigray
1998-06-01,105.29264,Tigray
1998-07-01,292.61566,Tigray
1998-08-01,312.00482,Tigray
1998-09-01,120.713524,Tigray
1998-10-01,43.247715,Tigray
1998-11-01,6.5784874,Tigray
1998-12-01,3.2282753,Tigray
1999-01-01,7.83041,Tigray
1999-02-01,3.296434,Tigray
1999-03-01,8.590845,Tigray
1999-04-01,16.982296,Tigray
1999-05-01,43.338272,Tigray
1999-06-01,85.51555,Tigray
1999-07-01,269.45944,Tigray
1999-08-01,291.8628,Tigray
1999-09-01,130.87103,Tigray
1999-10-01,57.58266,Tigray
1999-11-01,7.305814,Tigray
1999-12-01,4.549976,Tigray
2000-01-01,3.9716427,Tigray
2000-02-01,3.0132117,Tigray
2000-03-01,7.165809,Tigray
2000-04-01,58.15905,Tigray
2000-05-01,45.704998,Tigray
2000-06-01,108.9372,Tigray
2000-07-01,249.85744,Tigray
2000-08-01,256.1289,Tigray
2000-09-01,118.466835,Tigray
2000-10-01,64.59601,Tigray
2000-11-01,13.98183,Tigray
2000-12-01,4.2110295,Tigray
2001-01-01,3.5424669,Tigray
2001-02-01,3.324431,Tigray
2001-03-01,19.468155,Tigray
2001-04-01,18.360697,Tigray
2001-05-01,34.656094,Tigray
2001-06-01,105.729385,Tigray
2001-07-01,302.5038,Tigray
2001-08-01,319.60352,Tigray
2001-09-01,71.78106,Tigray
2001-10-01,32.793266,Tigray
2001-11-01,7.218895,Tigray
2001-12-01,3.551485,Tigray
2002-01-01,5.08236,Tigray
2002-02-01,3.0574079,Tigray
2002-03-01,22.179739,Tigray
2002-04-01,18.136034,Tigray
2002-05-01,32.68683,Tigray
2002-06-01,95.98186,Tigray
2002-07-01,225.93481,Tigray
2002-08-01,241.1609,Tigray
2002-09-01,94.79511,Tigray
2002-10-01,22.566353,Tigray
2002-11-01,6.910911,Tigray
2002-12-01,7.351025,Tigray
2003-01-01,4.349285,Tigray
2003-02-01,7.6648784,Tigray
2003-03-01,14.126373,Tigray
2003-04-01,20.306822,Tigray
2003-05-01,28.095495,Tigray
2003-06-01,136.13779,Tigray
2003-07-01,232.4985,Tigray
2003-08-01,277.41092,Tigray
2003-09-01,115.10587,Tigray
2003-10-01,15.831575,Tigray
2003-11-01,6.236291,Tigray
2003-12-01,3.2316768,Tigray
2004-01-01,6.095575,Tigray
2004-02-01,4.8064075,Tigray
2004-03-01,12.014704,Tigray
2004-04-01,31.171259,Tigray
2004-05-01,16.236462,Tigray
2004-06-01,107.7992,Tigray
2004-07-01,226.65694,Tigray
2004-08-01,230.66197,Tigray
2004-09-01,68.20133,Tigray
2004-10-01,32.857353,Tigray
2004-11-01,10.967904,Tigray
2004-12-01,2.757942,Tigray
2005-01-01,3.7158706,Tigray
2005-02-01,4.319795,Tigray
2005-03-01,27.812756,Tigray
2005-04-01,35.926594,Tigray
2005-05-01,47.378624,Tigray
2005-06-01,112.49874,Tigray
2005-07-01,223.21712,Tigray
2005-08-01,246.82181,Tigray
2005-09-01,103.43497,Tigray
2005-10-01,17.006294,Tigray
2005-11-01,7.809739,Tigray
2005-12-01,2.9821353,Tigray
2006-01-01,3.4152603,Tigray
2006-02-01,2.8900483,Tigray
2006-03-01,19.47346,Tigray
2006-04-01,37.421047,Tigray
2006-05-01,71.67474,Tigray
2006-06-01,93.631325,Tigray
2006-07-01,226.04793,Tigray
2006-08-01,299.1547,Tigray
2006-09-01,130.98268,Tigray
2006-10-01,45.263912,Tigray
2006-11-01,6.996161,Tigray
2006-12-01,5.617078,Tigray
2007-01-01,5.314246,Tigray
